p_atmos - p_outlet [Pa],p_atmos - p_throat [Pa],p_atmos - p_inlet [Pa],p_throat / p_atmos [-],mdot [kg/s]
2000.0,11500.0,286,0.887816,0.011901
3000.0,19300.0,385,0.811726,0.013808
4000.0,26000.0,460,0.746366,0.015093
5000.0,33500.0,522,0.673203,0.016079
6000.0,39400.0,550,0.615647,0.016504
7000.0,43500.0,562,0.575651,0.016683
8000.0,46500.0,564,0.546386,0.016713
9000.0,50000.0,567,0.512243,0.016757
10000.0,52000.0,565,0.492732,0.016728
11000.0,53100.0,567,0.482002,0.016757
12000.0,53200.0,567,0.481026,0.016757
